Issue Id,Summary,Description,Issue Type,Priority,Epic Name,Epic Link,Parent Id
POL-027,Threaded Workers for Heavy Calc,Performance/Polish task: Threaded Workers for Heavy Calc. Include before/after metrics where applicable.,Story,Medium,,EPIC-POLISH,
POL-028,WebGL Token Animations (Optional),Performance/Polish task: WebGL Token Animations (Optional). Include before/after metrics where applicable.,Story,Medium,,EPIC-POLISH,
POL-029,Audit 3rd Party Deps,Performance/Polish task: Audit 3rd Party Deps. Include before/after metrics where applicable.,Story,Medium,,EPIC-POLISH,
POL-030,Remove Unused Permissions,Performance/Polish task: Remove Unused Permissions. Include before/after metrics where applicable.,Story,Medium,,EPIC-POLISH,
CARD-001,Chance Deck: Implement All Cards,Implement and test: Chance Deck: Implement All Cards. Include edge cases and conflicts with mortgages and jail state.,Story,High,,EPIC-CARDS,
CARD-002,Community Chest Deck: Implement All Cards,Implement and test: Community Chest Deck: Implement All Cards. Include edge cases and conflicts with mortgages and jail state.,Story,High,,EPIC-CARDS,
CARD-003,Shuffle & Draw Mechanics,Implement and test: Shuffle & Draw Mechanics. Include edge cases and conflicts with mortgages and jail state.,Story,High,,EPIC-CARDS,
CARD-004,Card Effects Chaining,Implement and test: Card Effects Chaining. Include edge cases and conflicts with mortgages and jail state.,Story,High,,EPIC-CARDS,
CARD-005,Card UI & Readability,Implement and test: Card UI & Readability. Include edge cases and conflicts with mortgages and jail state.,Story,High,,EPIC-CARDS,
CARD-006,Card Log Entries,Implement and test: Card Log Entries. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-007,Get Out of Jail Free Handling,Implement and test: Get Out of Jail Free Handling. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-008,Advance to GO Handling,Implement and test: Advance to GO Handling. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-009,Advance to Nearest Railroad Handling,Implement and test: Advance to Nearest Railroad Handling. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-010,Advance to Nearest Utility Handling,Implement and test: Advance to Nearest Utility Handling. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-011,Go Back Three Spaces Handling,Implement and test: Go Back Three Spaces Handling. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-012,Pay Each Player Handling,Implement and test: Pay Each Player Handling. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-013,Collect From Each Player Handling,Implement and test: Collect From Each Player Handling. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-014,Repair Properties (House/Hotel Fees),Implement and test: Repair Properties (House/Hotel Fees). Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-015,Bank Error in Your Favor,Implement and test: Bank Error in Your Favor. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-016,Doctor's Fees,Implement and test: Doctor's Fees. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-017,Stock Sale,Implement and test: Stock Sale. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-018,Holiday Fund,Implement and test: Holiday Fund. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-019,Life Insurance Matures,Implement and test: Life Insurance Matures. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-020,School Fees,Implement and test: School Fees. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-021,Hospital Fees,Implement and test: Hospital Fees. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-022,Street Repairs,Implement and test: Street Repairs. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-023,Income Tax Refund,Implement and test: Income Tax Refund. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-024,Receive Consultancy Fee,Implement and test: Receive Consultancy Fee. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-025,You Inherit Money,Implement and test: You Inherit Money. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-026,Birthday Collect,Implement and test: Birthday Collect. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-027,Chairman of the Board,Implement and test: Chairman of the Board. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-028,Go To Jail Card,Implement and test: Go To Jail Card. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-029,Get Out of Jail Free Card,Implement and test: Get Out of Jail Free Card. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-030,Nearest Railroad If Owned Pay Double,Implement and test: Nearest Railroad If Owned Pay Double. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-031,Nearest Utility Multiplier by Dice,Implement and test: Nearest Utility Multiplier by Dice. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-032,Edge: Card Moves Past GO,Implement and test: Edge: Card Moves Past GO. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-033,Edge: Card Lands on Owned Property,Implement and test: Edge: Card Lands on Owned Property. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-034,Edge: Card During Jail,Implement and test: Edge: Card During Jail. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
CARD-035,Refactor Card Engine,Implement and test: Refactor Card Engine. Include edge cases and conflicts with mortgages and jail state.,Story,Medium,,EPIC-CARDS,
